	filename	year	sentnum	sentence
165	FRA03401_Reybaud.xml	1855	826	Heureusement cette situation ne se prolongea pas : le prêtre parut avec ses acolytes, et lorsqu'il fut devant l'autel, les assistants s'agenouillèrent en silence au bas de l'église.
166	FRA03401_Reybaud.xml	1855	314	de Champaubert; mais le muletier me dit simplement :
167	FRA03401_Reybaud.xml	1855	289	Plus tard, elles durent se séparer; mais la conformité de leur destinée avait fait naître entre elles une amitié qui ne finit qu'avec leur vie, et elles élevèrent leurs fils dans les mêmes sentiments.
168	FRA03401_Reybaud.xml	1855	8	Ces arbres formaient, des deux côtés, comme un clair rideau de feuillage, à travers lequel on apercevait des prairies, des vergers d'oliviers et des allées de vignes qui ressemblaient à de longs rubans verts de diverses nuances, déroulés sur un sol crayeux.
169	FRA03401_Reybaud.xml	1855	1470	... C'était ce qu'elle voulait, et elle en est venue à bout, cette mauvaise tête !
530	FRA05201_Feuillet.xml	1856	130	que n'était -ce celui de la mort !
531	FRA05201_Feuillet.xml	1856	1527	Êtes -vous sûr d'être plus habile à l'épée ?
532	FRA05201_Feuillet.xml	1856	1293	On l'avait portée dans le salon.
533	FRA05201_Feuillet.xml	1856	766	Dans la soirée, comme je quittais la table de whist, elle s'avança vers moi délibérément et me pria de lui faire l'honneur de figurer avec elle dans la danse de caractère qu'on nomme cotillon.
534	FRA05201_Feuillet.xml	1856	359	Tout en causant avec une négligence apparente, il me fit subir une sorte d'examen sur beaucoup de matières, comme pour s'assurer que j'étais digne de l'intérêt qu'il m'avait témoigné si gratuitement jusque -là.
535	FRA05201_Feuillet.xml	1856	52	Ce qui survit de l'abbaye elle -même est peu de chose : à l'entrée de la cour, une porte monumentale; une aile de bâtiment du XIIe siècle, où loge la famille du meunier dont je suis l'hôte; la salle du chapitre, remarquable par d'élégants arceaux et quelques traces de peintures murales; enfin, deux ou trois cellules, dont une paraît avoir servi de lieu de correction si j'en juge par la solidité de la porte et des verrous.
536	FRA05201_Feuillet.xml	1856	1291	Je gagnais ma chambre, quand un tumulte confus de voix, de cris et de pas précipités sous le vestibule m'a glacé le cœur.
537	FRA05201_Feuillet.xml	1856	1071	mais je crains que vous ne vous priviez, par bonté pour moi, d'un plaisir que vous aimez – et qui vous aime.
538	FRA05201_Feuillet.xml	1856	336	vous n'aimez point la fille de cuisine; elle trouble vos méditations par ses chants grossiers ?
539	FRA05201_Feuillet.xml	1856	483	Quant à moi, préoccupé de l'idée que je suis attendu, et voyant que je ne ferai plus rien qui vaille, je me décide bientôt à aller rejoindre madame de Malouet, que je trouve en grande conversation avec son curé ou avec Jacquemart ( des Deux-Sèvres ) : elle me dérange, je la gêne, et nous nous sourions agréablement.
140	FRA07101_Blondel.xml	1856	1079	Cela m'a fait tant de peine que je me suis mise à pleurer.
141	FRA07101_Blondel.xml	1856	227	On la prenait souvent pour arbitre dans les petits différends qui s'élevaient parmi les élèves de sa classe; toujours elles s'en rapportaient à son jugement, tant on lui reconnaissait de droiture et de sincérité.
142	FRA07101_Blondel.xml	1856	1584	Lorsque je parus dans la classe avec ce bel accoutrement, un fou rire s'empara de toutes les pensionnaires.
143	FRA07101_Blondel.xml	1856	1352	Alors Mlle Derville prenait un air très-sérieux; avec beaucoup de calme et de précision, elle répétait une à une toutes les explications qu'elle avait déjà données et n'ajoutait pas un mot de plus.
144	FRA07101_Blondel.xml	1856	2115	Elle possédait une connaissance assez étendue de l'histoire, de la géographie et même un peu de botanique.
145	FRA07101_Blondel.xml	1856	482	Le cabinet faisait suite à la chambre.
146	FRA07101_Blondel.xml	1856	189	Celui ci, qui connaissait la fortune de Mme Auberton, accepta volontiers les offres qui lui étaient faites, et tout fut conclu à l'instant même.
147	FRA07101_Blondel.xml	1856	1108	Enfin, et c'était là sans doute son plus fort grief contre elle, Mlle Derville se montrait mesquine, peu généreuse en comparaison des jeunes personnes qui l'avaient précédée.
148	FRA07101_Blondel.xml	1856	2104	A dix heures, Mlle Léonie vint chercher ses élèves.
149	FRA07101_Blondel.xml	1856	2076	Quand j'ai quelque tort, elle me donne de bons conseils pour me corriger, et voilà tout.
930	FRA01202_Feval.xml	1857	7950	En bas, la voix du major Legagneur cria :
931	FRA01202_Feval.xml	1857	1119	Depuis qu'elle est morte, on voit une forme blanche, assise, la nuit, au pied du chêne...
932	FRA01202_Feval.xml	1857	8012	murmurèrent les garçons, qui restèrent bouche béante à contempler le carreau de cristal formant clef de voûte.
933	FRA01202_Feval.xml	1857	1861	Le bruit d'une cavalcade nombreuse se fit entendre au bas du tertre, derrière une pointe que faisait la forêt.
934	FRA01202_Feval.xml	1857	1532	Mathieu soutenait Hector, qui reprenait lentement connaissance.
935	FRA01202_Feval.xml	1857	2924	Nous l'avons vu encore pénétrer dans la maison du mort après le départ de Jean Guern et de sa femme.
936	FRA01202_Feval.xml	1857	1941	je sens que vous allez m'éloigner de vous pour jamais !
937	FRA01202_Feval.xml	1857	3287	s'écria Martin Louveau, laveur, ça ne fait que croître et embellir.
938	FRA01202_Feval.xml	1857	2781	Il y avait longtemps qu'elle avait envie de connaître tous ces secrets qui avaient été la terreur et la curiosité de son enfance.
939	FRA01202_Feval.xml	1857	7110	La croupe de la montagne s'élevait à droite, couverte d'un taillis de hêtres et de chênes; à sa gauche, c'était une prairie marécageuse, bordée par une vaste étendue d'eau.
890	FRA01302_Flaubert.xml	1857	568	Pour en goûter la douceur, il eût fallu, sans doute, s'en aller vers ces pays à noms sonores où les lendemains de mariage ont de plus suaves paresses !
891	FRA01302_Flaubert.xml	1857	411	Suivant leur position sociale différente, ils avaient des habits, des redingotes, des vestes, des habits-vestes : -- bons habits, entourés de toute la considération d'une famille, et qui ne sortaient de l'armoire que pour les solennités; redingotes à grandes basques flottant au vent, à collet cylindrique, à poches larges comme des sacs; vestes de gros drap, qui accompagnaient ordinairement quelque casquette cerclée de cuivre à sa visière; habits-vestes très courts, ayant dans le dos deux boutons rapprochés comme une paire d'yeux, et dont les pans semblaient avoir été coupés à même un seul bloc, par la hache du charpentier.
892	FRA01302_Flaubert.xml	1857	4971	Il y en avait un surtout, un grand bel homme, à petites moustaches, qui était joliment amusant !
893	FRA01302_Flaubert.xml	1857	2041	L'envie la prit de courir le rejoindre, de se jeter dans ses bras, de lui dire : « C'est moi, je suis à toi !
894	FRA01302_Flaubert.xml	1857	3277	... J'en perds la tête !
895	FRA01302_Flaubert.xml	1857	384	Quoique sans doute la petite soit de mon idée, il faut pourtant lui demander son avis.
896	FRA01302_Flaubert.xml	1857	5118	Quand elle s'asseyait sur ses genoux, sa jambe, alors trop courte, pendait en l'air; et la mignarde chaussure, qui n'avait pas de quartier, tenait seulement par les orteils à son pied nu.
897	FRA01302_Flaubert.xml	1857	4116	de * * *, décoré de plusieurs ordres; des Erreurs de Voltaire, à l'usage des jeunes gens, etc.
898	FRA01302_Flaubert.xml	1857	240	Mademoiselle Emma l'aperçut; elle se pencha sur les sacs de blé.
899	FRA01302_Flaubert.xml	1857	6051	La mère Rolet la couvrit d'un jupon et resta debout près d'elle.
110	FRA05702_Maquet.xml	1857	5825	Il n'y trouva que les cadavres de son père et de Marcelle; mais Aubin, mais Marguerite, où étaient -ils ?
111	FRA05702_Maquet.xml	1857	7670	de Cadenet pourra, s'il vous plaît, occuper, afin de se trouver toujours près de vous.
112	FRA05702_Maquet.xml	1857	9027	de Harlay dont les cheveux blancs semblaient se hérisser comme pour faire une couronne de gloire à ce front irréprochable.
113	FRA05702_Maquet.xml	1857	9617	Voilà ce qui reste à la Bastille, mes enfants !
114	FRA05702_Maquet.xml	1857	10628	La reine part aujourd'hui pour l'exil.
115	FRA05702_Maquet.xml	1857	4163	Le duc passa fièrement la rivière, tenant ses pistolets au-dessus de sa tête.
116	FRA05702_Maquet.xml	1857	4256	Deux commissions d'un seul coup.
117	FRA05702_Maquet.xml	1857	2713	Pendant que les autres expédient là-haut lé capitaine, culbutez ces chevaux !
118	FRA05702_Maquet.xml	1857	1270	L'accusatrice fut sacrifiée.
119	FRA05702_Maquet.xml	1857	4353	Elle n'a pour cabinet qu'un buisson, pour festin qu'une mûre sauvage.
40	FRA00301_Aimard.xml	1858	110	fit un lepero, avec un sourire de regret, ce serait malheureux, le gaillard promet, sur ma parole !
41	FRA00301_Aimard.xml	1858	4430	Voulez -vous remplacer auprès de moi cette famille qui me manque, répondez, Cœur-Loyal, voulez -vous être mon fils ?
42	FRA00301_Aimard.xml	1858	1728	Son enfance s'était passée calme et décolorée dans les pratiques religieuses ou plutôt superstitieuses qui, au Mexique, forment le fond de la religion.
43	FRA00301_Aimard.xml	1858	2663	La pauvre mère avait une crainte qui lui tordait le cœur et lui faisait endurer une torture, auprès de laquelle celle que les Indiens se préparaient à lui infliger n'était rien; elle tremblait que son fils prévenu du sort horrible qui l'attendait n'accourût, pour la sauver, se livrer à ses féroces ennemis.
44	FRA00301_Aimard.xml	1858	2824	répondit Belhumeur avec un sourire ironique en haussant les épaules.
45	FRA00301_Aimard.xml	1858	3704	s'écria le pirate avec rage, écoutez -moi donc, folle jeune fille, dans trois jours, je reviendrai, vous voyez que je suis bon, ajouta-t-il avec un sourire sinistre, je vous donne le temps de réfléchir; si alors vous ne consentez pas à me suivre, votre oncle sera livré à la plus atroce torture, comme dernier souvenir de moi, je vous enverrai sa tête.
46	FRA00301_Aimard.xml	1858	1407	Les Indiens, reconnaissant l'impossibilité de s'emparer de nous vivants, nous ont jeté les colons du village après les avoir scalpés et leur avoir coupé les poignets, ensuite ils ont incendié le fort.
47	FRA00301_Aimard.xml	1858	3229	il paraît que cet homme complotait avec un autre bandit de son espèce, de livrer le camp à des Indiens, probablement; doña Luz a, par hasard, entendu toute la conversation de ces drôles, et, au moment où ils passaient près d'elle pour s'échapper, elle a tiré sur eux deux coups de pistolet à bout portant.
48	FRA00301_Aimard.xml	1858	4286	Tâchez, après avoir vécu comme des bêtes fauves, de ne pas mourir comme des vieilles femmes peureuses, soyez braves, peut-être alors le Maître de la vie aura-t-il pitié de vous et vous recevra-t-il après votre mort dans       ce lieu de délices où chassent pendant l'éternité les braves qui ont regardé la mort en face.
49	FRA00301_Aimard.xml	1858	4212	La balle atteignit le Canadien qui tomba baigné dans son sang.
400	FRA00101_Adam.xml	1860	981	À mitan du dessert, madame la mairesse, croyant nous gêner, se leva de table, et, montrant la Rose, elle nous dit à
401	FRA00101_Adam.xml	1860	999	Plus d'une fois, quand il manquait à une honnête jeunesse quelques écus pour se marier, madame la mairesse les a donnés de sa poche.
402	FRA00101_Adam.xml	1860	537	vous serez punis par le tact, per tactum !
403	FRA00101_Adam.xml	1860	292	Je ne pourrais t'oublier, quand même je m'y appliquerais, car je t'aime, Pierre, je t'aime à plein cœur.
404	FRA00101_Adam.xml	1860	1178	Allons, je vais me préparer.
405	FRA00101_Adam.xml	1860	711	Nous qui sommes du conseil municipal, nous savons bien ce qu'il en retourne, mais fût -ce !
406	FRA00101_Adam.xml	1860	1269	Va, ma Rose, on ne pourra nous reprocher négligence ni retard, si elle n'obtient pas légitime droit et aboutissement.
407	FRA00101_Adam.xml	1860	625	Supposez, par exemple, le maître de notre château, et tous les rentiers d'État.
408	FRA00101_Adam.xml	1860	995	On se sentait bien intentionné et on ne savait quoi trouver pour marquer son contentement.
409	FRA00101_Adam.xml	1860	1053	un malin comme toi, dit Jean-Claude; tu as déshonoré Saint-Brunelle ?
290	FRA06801_Vaillant.xml	1861	3443	J'ai accompli le mien en honnête homme, bien que les apparences ne me fussent pas favorables.
291	FRA06801_Vaillant.xml	1861	2058	... dit le major en déposant sur la table les deux épées de combat.
292	FRA06801_Vaillant.xml	1861	3292	ma foi, vous direz tout ce que vous voudrez, l'amour est une belle chose, mais mieux vaut moins aimer et vivre plus longtemps.
293	FRA06801_Vaillant.xml	1861	2787	Ces trente mille francs formaient une partie de l'avoir de ma famille, et ne voyant pas revenir mon ami Grandurand dans le délai d'un an fixé pour la restitution, j'ai eu le malheur et le tort dont je rougis de l'accuser d'improbité.
294	FRA06801_Vaillant.xml	1861	4076	Tandis qu'il attendait chez lui la visite prévue de M.
295	FRA06801_Vaillant.xml	1861	123	Il est bon de prendre ses sûretés avec vous.
296	FRA06801_Vaillant.xml	1861	4424	il est plus fort que je ne le croyais, ce Landolfi.
297	FRA06801_Vaillant.xml	1861	5377	Rester près d'elle quand rien ne l'empêchait de se rapprocher de Clémence, c'était pour elle un indice trop clair d'un changement facile à prévoir.
298	FRA06801_Vaillant.xml	1861	947	L'ordre ne pouvait être rempli aussitôt que donné.
299	FRA06801_Vaillant.xml	1861	4806	Cependant il fallait quitter la ville et abandonner ses projets, ce qu'il ne voulait à aucun prix, ou il devait finir par recevoir le major.
740	FRA01303_Flaubert.xml	1862	5440	Il se sentit lié par les poings et les genoux, et il tomba.
741	FRA01303_Flaubert.xml	1862	4729	C'était, croyaient les prêtres de Moloch, un outrage qu'il venait faire à leur dieu; avec de grands gestes, ils essayaient de le repousser.
742	FRA01303_Flaubert.xml	1862	5054	Des capitaines, debout, l'entouraient.
743	FRA01303_Flaubert.xml	1862	3976	Ceux qui se livreraient, on les vendrait comme des esclaves; les vaincus périraient suppliciés.
744	FRA01303_Flaubert.xml	1862	1987	Elle envoyait tous les jours porter de la nourriture dans les temples.
745	FRA01303_Flaubert.xml	1862	3757	Il avait deviné une Carthaginoise, aux petites boules de sandastrum qui battaient contre ses cothurnes; et, dans le pressentiment d'un mystère considérable, en se faisant aider par ses compagnons, il était parvenu à sortir de la fosse; puis, avec les coudes et les mains, il s'était traîné vingt pas plus loin, jusqu'à la tente de Mâtho.
746	FRA01303_Flaubert.xml	1862	503	Spendius marcha continuellement derrière lui; et ils revinrent sans qu'on eût tiré le poignard.
747	FRA01303_Flaubert.xml	1862	461	« Quel est ce peuple, pensaient -ils, qui s'amuse à crucifier les lions !
748	FRA01303_Flaubert.xml	1862	5369	Le roi des Numides était dans sa dépendance; il attendait impatiemment les noces, et comme elles devaient suivre la victoire, Salammbô lui faisait ce présent afin d'exciter son courage.
749	FRA01303_Flaubert.xml	1862	4918	Ils tâchèrent de s'y cramponner pour atteindre au sommet; la forme ventrue de ces grosses masses repoussait toute prise.
770	FRA04102_Erckmann.xml	1863	1663	Il n'était pas aussi bien habillé qu'un major prussien, mais il se tenait aussi tranquille sur son cheval que si on lui avait joué un air de clarinette.
771	FRA04102_Erckmann.xml	1863	1348	Elle recommence à tomber, nous en avons encore pour toute la nuit.
772	FRA04102_Erckmann.xml	1863	552	Devant nous, à cinquante pas, contre la fontaine, tous les morts, rangés sur les marches, la face en l'air et les yeux écarquillés, étaient blancs comme de la cire, ayant perdu tout leur sang.
773	FRA04102_Erckmann.xml	1863	2617	Une seconde après, la fumée s'étant un peu dissipée, nous vîmes les Français plus haut sur la côte; ils allongeaient le pas, des quantités de blessés restaient derrière, les uns étendus sur la face, les autres assis et cherchant à se relever.
774	FRA04102_Erckmann.xml	1863	1812	Déjà de loin, nous voyions les moineaux alignés au bord du toit.
775	FRA04102_Erckmann.xml	1863	2161	Le mauser ne conservait plus son bonnet de martre sur la tête, il ouvrait les yeux et regardait tout attentif, et Koffel avait mis une chemise blanche, dont le collet lui remontait jusque par-dessus les oreilles; il se tenait tout droit, les mains dans les poches de sa veste, et sa femme avait dû lui mettre un bouton pour attacher la seconde bretelle de sa culotte, car, au lieu de pencher sur la hanche, elle était relevée également des deux côtés; en outre, au lieu de ses savates percées de trous, il avait mis ses souliers des jours de fête.
776	FRA04102_Erckmann.xml	1863	2723	Je n'en sais rien; mais ce qu'il y a de sûr, c'est que le lendemain, l'oncle, fier comme un roi, revint avec Mme Thérèse et petit Jean, qu'il y eut grande noce chez nous, embrassades et réjouissances.
777	FRA04102_Erckmann.xml	1863	823	Après quoi, il ressortit tout pâle et nous dit :
778	FRA04102_Erckmann.xml	1863	2306	Nous vîmes aussi l'oncle passer devant les fenêtres et entrer sous le hangar.
779	FRA04102_Erckmann.xml	1863	1137	Quelle misère, mon Dieu !
10	FRA03302_Rattazzi.xml	1865	3189	Vous serez heureuse avec nous !
11	FRA03302_Rattazzi.xml	1865	2485	– 1, 500 francs par an, nourrie, logée, habillée, comblée de cadeaux, si l'on sait plaire à madame de Vinzelles, la femme la plus artiste, la plus capricieuse, la plus grande dame, la plus enthousiaste qui soit... MAIS...
12	FRA03302_Rattazzi.xml	1865	2725	Aussi, au bout de quelques jours, le voyageur se décide à mettre ses bottes au fond de sa malle et, adoptant la chaussure de bois, vient augmenter le nombre des             qui l'ont abasourdi à son arrivée.
13	FRA03302_Rattazzi.xml	1865	1433	Si son amant lui avait donné tout cela; il pouvait aussi le lui retirer.
14	FRA03302_Rattazzi.xml	1865	90	Des piétons, appartenant pour la plupart aux classes ouvrières, suivent ses trottoirs; des omnibus, des voitures de roulage, quelques fiacres à numéros jaunes, font sonner leur ferraille et trembler les vitres de ses croisées.
15	FRA03302_Rattazzi.xml	1865	2528	Trois mille francs, c'est tentant !
16	FRA03302_Rattazzi.xml	1865	131	Le ménage de Georges-Napoléon est le mieux tenu de cette maison qui ne rapporte à son propriétaire que quatre mille francs par an.
17	FRA03302_Rattazzi.xml	1865	1112	Elle en disposait, on ne savait pour qui, ni de quelle façon.
18	FRA03302_Rattazzi.xml	1865	88	Elle n'est pas tout à fait droite, ses maisons ne sont pas tout à fait uniformes : elle a encore une physionomie.
19	FRA03302_Rattazzi.xml	1865	2978	L'idée domine partout dans les arts... C'est une belle et noble jeune fille, qu'il faut parer du mieux que l'on peut.
210	FRA02202_Gouraud.xml	1867	362	ce n'était pas fatuité de sa part.
211	FRA02202_Gouraud.xml	1867	2046	Il constata aussi que la richesse impose des lois gênantes.
212	FRA02202_Gouraud.xml	1867	408	... on a vu cela; mais, puisque vous allez à Strasbourg, je vais vous indiquer les bons endroits : vous entrerez par la porte de pierre; allez à la  .
213	FRA02202_Gouraud.xml	1867	1487	Je vois ça sur ma carte.
214	FRA02202_Gouraud.xml	1867	1817	mais que serait-elle devenue sans moi ?
215	FRA02202_Gouraud.xml	1867	2034	Mais tu ne sais pas, mon jeune ami, comme j'ai besoin de les voir et de les entendre.
216	FRA02202_Gouraud.xml	1867	2275	Il aurait voulu transporter sa chaumière à Wasembourg pour être plus près de Madeleine.
217	FRA02202_Gouraud.xml	1867	325	Après avoir tout dit et redit, la brave femme demanda à son hôte s'il n'avait pas, par hasard, des lunettes; car sa vue baissait un peu.
218	FRA02202_Gouraud.xml	1867	478	N'avez -vous pas vos pauvres, Odile ?
219	FRA02202_Gouraud.xml	1867	2173	» Sur la demande de sa sœur, il vint dételer Pacha, les paquets furent déposés au grenier et le   précieusement mis dans l'armoire : la chaumière prenait un aspect tout nouveau.
640	FRA03702_Sand.xml	1867	2780	Voilà pourquoi elle m'avait légué ces preuves de son innocence.
641	FRA03702_Sand.xml	1867	2442	s'écria-t-il, étais -je tout à fait injuste ?
642	FRA03702_Sand.xml	1867	4001	Je me posai sincèrement la question.
643	FRA03702_Sand.xml	1867	4113	Il est l'aspiration à l'assimilation de deux êtres différents dans un acte de foi commune.
644	FRA03702_Sand.xml	1867	3270	Je n'ai plus d'amour pour Sylvestre, tu le sais bien.
645	FRA03702_Sand.xml	1867	2589	Je ne les entendais qu'à de rares échappées comme si une porte se fût ouverte un instant et brusquement refermée entre eux et moi; mais cette porte n'existait que dans mon cerveau.
646	FRA03702_Sand.xml	1867	2672	J'avais pensé que c'était un testament, et, résolu à ne jamais l'accepter, je l'avais serré sans y attacher d'importance.
647	FRA03702_Sand.xml	1867	1594	Je voulais laisser à Félicie tout le soin, toute la responsabilité, je n'osais dire tout le mérite de cette exécution...
648	FRA03702_Sand.xml	1867	286	Ce que vous ne savez pas encore, vous l'apprendrez au premier jour, si vous restez seulement une quinzaine encore dans le pays; j'aime mieux vous le dire moi -même tout de suite.
649	FRA03702_Sand.xml	1867	3149	vous l'eussiez battu, j'espère, car ses paroles méritaient un soufflet de vous.
900	FRA00901_Daudet.xml	1868	277	Mme Eyssette commence à se tourmenter :
901	FRA00901_Daudet.xml	1868	2896	J'étais si heureux dans ce temps -là... Je travaillais de si bon cœur !
902	FRA00901_Daudet.xml	1868	1478	Une fleur pour chacun.
903	FRA00901_Daudet.xml	1868	3950	Celui -ci était le professeur de déclamation; un affreux petit bossu, tête blême, perruque rousse, rire aux dents moisies.
904	FRA00901_Daudet.xml	1868	2122	je m'en charge... L'argent que tu voulais emprunter à ce coquin, c'est moi qui te le prêterai.
905	FRA00901_Daudet.xml	1868	3780	Pierrotte était très gai, très bavard, insupportable : les « c'est bien le cas de le dire » pleuvaient plus drus que giboulée.
906	FRA00901_Daudet.xml	1868	1676	Je finis par ne plus m'occuper d'eux.
907	FRA00901_Daudet.xml	1868	1100	Vous lui avez fait de bonnes farces, et votre ancien pion ne les a pas encore oubliées...
908	FRA00901_Daudet.xml	1868	3241	Malheureusement j'eus l'imprudence de les revoir encore une fois.
909	FRA00901_Daudet.xml	1868	3141	À ce bruit, je tournai la tête et j'aperçus dans un fauteuil, à l'angle du piano, un personnage auquel je n'avais pas pris garde... C'était un grand vieux sec et blême, avec une tête d'oiseau, le front fuyant, le nez en pointe, des yeux ronds et sans vie trop loin du nez, presque sur les tempes... Sans un morceau de sucre que le bonhomme tenait à la main et qu'il becquetait de temps en temps, on aurait pu le croire endormi.
200	FRA01201_Feval.xml	1868	6437	Toute cette partie de la cour de Guéménée est à lui.
201	FRA01201_Feval.xml	1868	4680	On ne le connaissait pas, mon père; pour tout le monde il a été, pendant de longues années, le pauvre artiste qui vendait son talent pour un morceau de pain au maître de musique de l'Opéra; pour tout le monde encore et pendant quelques jours, il a été un fou que le démon du jeu possédait.
202	FRA01201_Feval.xml	1868	8116	Nous mettrons dix royaumes dans le contrat :
203	FRA01201_Feval.xml	1868	3551	je n'écrirai pas à Thérèse puisque je n'ai pas écrit à Muguette.
204	FRA01201_Feval.xml	1868	8289	Bertrand battit le briquet et la ralluma.
205	FRA01201_Feval.xml	1868	4311	si quelqu'un nous barre la route, je me charge de lui marcher sur le ventre !
206	FRA01201_Feval.xml	1868	7694	travaille mon enfant !
207	FRA01201_Feval.xml	1868	6712	ordonna-t-il; je vous attendais et j'ai pris mes mesures.
208	FRA01201_Feval.xml	1868	7138	Pour venir ici, j'ai fait faux bond a Mme de Tencin et perdu ainsi l'occasion de mortifier cruellement ce coquin de Dubois.
209	FRA01201_Feval.xml	1868	1351	Que vas -tu faire dans Paris ?
500	FRA01902_Gaboriau.xml	1869	9191	... Vous ne comprenez donc pas qu'en vous engageant, vous engagez fatalement le baron d'Escorval... Vous croyez ne risquer que votre tête, vous jouez la vie de votre père...
501	FRA01902_Gaboriau.xml	1869	2000	... Il faudra que le juge d'instruction entende votre déposition.
502	FRA01902_Gaboriau.xml	1869	7929	Apprenant notre arrivée, il accourait, et sans hésitation, sans faste, il se dépouillait volontairement d'une fortune... et on le rudoyait.
503	FRA01902_Gaboriau.xml	1869	10330	Nos hommes ont tiré en l'air.
504	FRA01902_Gaboriau.xml	1869	1434	... se disait-il, est -ce qu'on a jamais ici-bas une joie sans mélange !
505	FRA01902_Gaboriau.xml	1869	226	J'étais là-haut à rapiécer des nippes à mon fils, quand j'ai entendu une dispute.
506	FRA01902_Gaboriau.xml	1869	14916	Marie-Anne était morte.
507	FRA01902_Gaboriau.xml	1869	4508	fit le directeur un peu étonné.
508	FRA01902_Gaboriau.xml	1869	11531	... Comment Chanlouineau ne s'en était-il pas servi pour son propre salut ?
509	FRA01902_Gaboriau.xml	1869	247	Je vous ai affirmé que je suis innocent, et un homme prêt à mourir, frappé de ma main, et cette vieille femme ont confirmé ma déclaration.
250	FRA02601_Malot.xml	1869	1165	J'eus un moment d'anxiété, car j'étais bien ébranlé, bien irrésolu.
251	FRA02601_Malot.xml	1869	1265	Déjà bien des fois, quand je traversais un village, ou quand je rencontrais des paysans, on m'avait observé, et si l'on ne m'avait pas interrogé, c'est que j'avais alors forcé le pas.
252	FRA02601_Malot.xml	1869	1638	demanda le petit homme sans se laisser troubler.
253	FRA02601_Malot.xml	1869	1467	On allait chercher, trouver, et bien certainement me renvoyer à mon oncle.
254	FRA02601_Malot.xml	1869	157	On ne sentait plus qu'une violente poussée, toujours dans le même sens; on n'entendait plus qu'un soufflement qui rendait sourd.
255	FRA02601_Malot.xml	1869	2836	Enfin j'arrivai aux cordes, je les coupai, j'étais libre.
256	FRA02601_Malot.xml	1869	1333	Ne marchez pas trop vite, ce sera prudent.
257	FRA02601_Malot.xml	1869	1190	Décidément les voyages étaient plus amusants.
258	FRA02601_Malot.xml	1869	1812	dit la femme, elle a un signe à la joue.
259	FRA02601_Malot.xml	1869	2899	Il avait diminué de grosseur encore, et il continuait sa route !
360	FRA01301_Flaubert.xml	1869-1870	1227	C'étaient des épanchements sans fin, des gaietés sans cause, et des disputes quelquefois, à propos de la lampe qui filait ou d'un livre égaré, colères d'une minute, que des rires apaisaient.
361	FRA01301_Flaubert.xml	1869-1870	6840	Il promettait au cocher de gros pourboires.
362	FRA01301_Flaubert.xml	1869-1870	3081	Aucune des deux n'avait de monnaie, Frédéric en offrit.
363	FRA01301_Flaubert.xml	1869-1870	6654	» Elle a fait saisir rien que cinq journaux !
364	FRA01301_Flaubert.xml	1869-1870	1439	Une brouille s'ensuivit.
365	FRA01301_Flaubert.xml	1869-1870	7276	» Tu peux bien surveiller la loge toute seule.
366	FRA01301_Flaubert.xml	1869-1870	3252	« Quand on pense qu'il peut y avoir jusqu'à vingt-huit formalités pour établir un batelet sur une rivière, ça me donne envie d'aller vivre chez les anthropophages !
367	FRA01301_Flaubert.xml	1869-1870	6007	Frédéric, indigné, s'écria :
368	FRA01301_Flaubert.xml	1869-1870	338	La santé est toujours bonne, j'espère ?
369	FRA01301_Flaubert.xml	1869-1870	2432	Parvenu dans la rue de Fleurus, Frédéric s'aperçut qu'il ignorait le nom de la demoiselle.
760	FRA03701_Sand.xml	1872	3006	La sorcière l'avait laissé tomber en entendant le noël de Dumont.
761	FRA03701_Sand.xml	1872	333	Ils perdent jusqu'à leur nom, c'est comme s'ils étaient tombés de la lune.
762	FRA03701_Sand.xml	1872	4292	Il nous fallut traverser de véritables ruines pour pénétrer dans le grand salon qui était encore debout et entier, mais sans vitres et sans portes.
763	FRA03701_Sand.xml	1872	3727	Déduction faite de ce qui m'avait été prêté par M.
764	FRA03701_Sand.xml	1872	2348	On attendait des chevaux à revenir d'une autre course, et deux des cavaliers de l'escorte étaient allés pour en réquisitionner dans la ville.
765	FRA03701_Sand.xml	1872	3376	Costejoux, cet homme si humain et si intelligent, en était venu à croire que Robespierre et Saint-Just pouvaient régénérer la France après l'avoir saignée aux quatre veines !
766	FRA03701_Sand.xml	1872	647	Ce fut le seul dégât commis.
767	FRA03701_Sand.xml	1872	2206	Le peuple est consterné, il est poltron, voilà tout son crime.
768	FRA03701_Sand.xml	1872	5077	J'avais toujours demandé au ciel de ne pas lui survivre, et pourtant je vis encore, parce que je me vois encore utile aux chers enfants et petits-enfants qui m'entourent.
769	FRA03701_Sand.xml	1872	1463	Je ne te ferai jamais de chagrin, et, si je dois me marier comme tu te l'imagines, ce ne sera qu'avec ton consentement; entends -tu bien ?
800	FRA01402_Fleuriot.xml	1874	365	» Je me suis secoué et levé; il faisait grand jour, et maman me regardait.
801	FRA01402_Fleuriot.xml	1874	685	Aujourd'hui j'ai peu de paroles inutiles sur la conscience, mais j'ai les reins et les bras bien fatigués.
802	FRA01402_Fleuriot.xml	1874	1546	Il se tenait devant sa porte, enveloppé dans une couverture, les cheveux hérissés, les yeux grands ouverts.
803	FRA01402_Fleuriot.xml	1874	612	Ils sont très intrépides ces enfants; mais tu comprends qu'ils ne peuvent pas toujours nous suivre : ils n'ont pas la permission de dépasser la première grève, qui est déjà pas mal éloignée pour leurs petites jambes.
